time_ns,winc,rinc,wFull,rEmpty,wHalfFull,rHalfEmpty,wData,rData
1690,0,1,0,0,1,1,0,180
1692,1,1,0,0,1,1,1,180
1704,1,1,0,0,1,1,0,180
1710,1,1,0,0,1,1,0,167
1716,0,1,0,0,1,1,0,167
1720,0,0,0,0,1,1,0,167
1740,1,0,0,0,1,1,0,167
1752,1,0,0,0,1,1,1,167
1760,1,1,0,0,1,1,1,167
1764,1,1,0,0,1,1,1,167
1776,0,1,0,0,1,1,1,167
1780,0,0,0,0,1,1,1,167
1800,0,1,0,0,1,1,1,167
1810,0,1,0,0,1,0,1,185
1812,1,1,0,0,1,0,0,185
1820,1,0,0,0,1,0,0,185
1824,0,0,0,0,1,0,0,185
1840,0,1,0,0,1,0,0,185
1850,0,1,0,0,1,0,0,2
1860,1,0,0,0,1,0,1,2
1872,0,0,0,0,1,0,1,2
1884,1,0,0,0,1,0,0,2
1900,1,1,0,0,1,0,0,2
1908,1,1,0,0,1,0,1,2
1910,1,1,0,0,1,0,1,51
1920,1,1,0,0,1,0,0,51
1930,1,1,0,0,1,0,0,163
1932,0,1,0,0,1,0,0,163
1940,0,0,0,0,1,0,0,163
1944,1,0,0,0,1,0,1,163
1956,1,0,0,0,1,0,1,163
1968,1,0,0,0,1,0,0,163
1980,1,1,0,0,1,0,1,163
1990,1,1,0,0,1,0,1,95
1992,1,1,0,0,1,0,0,95
2000,1,0,0,0,1,0,0,95
2004,1,0,0,0,1,0,1,95
2016,0,0,0,0,1,0,1,95
2020,0,1,0,0,1,0,1,95
2030,0,1,0,0,1,0,1,87
2040,1,1,0,0,1,0,1,87
2050,1,1,0,0,1,0,1,41
2052,1,1,0,0,1,0,1,41
2060,1,0,0,0,1,0,1,41
2064,0,0,0,0,1,0,1,41
2076,1,0,0,0,1,0,0,41
2080,1,1,0,0,1,0,0,41
2090,1,1,0,0,1,0,0,10
2110,1,1,0,0,1,0,0,215
2112,0,1,0,0,1,0,0,215
2120,0,0,0,0,1,0,0,215
2136,1,0,0,0,1,0,1,215
2140,1,1,0,0,1,0,1,215
2148,0,1,0,0,1,0,1,215
2150,0,1,0,0,1,0,1,122
2160,1,1,0,0,1,0,0,122
2170,1,1,0,0,1,0,0,58
2172,0,1,0,0,1,0,0,58
2190,0,1,0,0,1,0,0,188
2208,1,1,0,0,1,0,1,188
2210,1,1,0,0,1,0,1,152
2220,0,0,0,0,1,0,1,152
2268,1,0,0,0,1,0,0,152
2280,1,0,0,0,1,0,0,152
2292,1,0,0,0,1,0,1,152
2300,1,1,0,0,1,0,1,152
2304,1,1,0,0,1,0,0,152
2310,1,1,0,0,1,0,0,57
2316,0,1,0,0,1,0,0,57
2320,0,0,0,0,1,0,0,57
2328,1,0,0,0,1,0,0,57
2340,1,0,0,0,1,0,1,57
2352,0,0,0,0,1,0,1,57
2400,1,0,0,0,1,0,0,57
2412,0,0,0,0,1,0,0,57
2436,1,0,0,0,1,0,1,57
2448,1,0,0,0,1,0,1,57
2460,1,1,0,0,1,0,1,57
2470,1,1,0,0,1,0,1,86
2472,1,1,0,0,1,0,0,86
2484,0,1,0,0,1,0,0,86
2490,0,1,0,0,1,0,0,192
2510,0,1,0,0,1,0,0,82
2530,0,1,0,0,1,0,0,223
2532,1,1,0,0,1,0,1,223
2540,1,0,0,0,1,0,1,223
2544,0,0,0,0,1,0,1,223
2556,1,0,0,0,1,0,0,223
2560,1,1,0,0,1,0,0,223
2568,1,1,0,0,1,0,1,223
2570,1,1,0,0,1,0,1,35
2580,0,1,0,0,1,0,1,35
2590,0,1,0,0,1,0,1,80
2604,1,1,0,0,1,0,0,80
2610,1,1,0,0,1,0,0,4
2616,0,1,0,0,1,0,0,4
2628,1,1,0,0,1,0,0,4
2630,1,1,0,0,1,0,0,138
2640,1,0,0,0,1,0,0,138
2652,0,0,0,0,1,0,0,138
2664,1,0,0,0,1,0,1,138
2676,1,0,0,0,1,0,1,138
2680,1,1,0,0,1,0,1,138
2688,1,1,0,0,1,0,0,138
2690,1,1,0,0,1,0,0,47
2700,1,1,0,0,1,0,1,47
2710,1,1,0,0,1,0,1,81
2712,0,1,0,0,1,0,1,81
2720,0,0,0,0,1,0,1,81
2724,1,0,0,0,1,0,0,81
2736,1,0,0,0,1,0,1,81
2748,0,0,0,0,1,0,1,81
2760,0,1,0,0,1,0,1,81
2770,0,1,0,0,1,0,1,95
2772,1,1,0,0,1,0,0,95
2780,1,0,0,0,1,0,0,95
2784,0,0,0,0,1,0,0,95
2808,1,0,0,0,1,0,1,95
2820,0,1,0,0,1,0,1,95
2830,0,1,0,0,1,0,1,150
2850,0,1,0,0,1,0,1,243
2860,0,0,0,0,1,0,1,243
2880,1,1,0,0,1,0,0,243
2890,1,1,0,0,1,0,0,73
2892,1,1,0,0,1,0,0,73
2904,0,1,0,0,1,0,0,73
2910,0,1,0,0,1,0,0,195
2920,0,0,0,0,1,0,0,195
2960,0,1,0,0,1,0,0,195
2970,0,1,0,0,1,0,0,185
2980,0,0,0,0,1,0,0,185
2988,1,0,0,0,1,0,1,185
3000,1,1,0,0,1,0,1,185
3010,1,1,0,0,1,0,1,12
3012,0,1,0,0,1,0,1,12
3020,0,0,0,0,1,0,1,12
3036,1,0,0,0,1,0,0,12
3040,1,1,0,0,1,0,0,12
3050,1,1,0,0,1,0,0,33
3060,0,1,0,0,1,0,0,33
3070,0,1,0,0,1,0,0,64
3072,1,1,0,0,1,0,1,64
3080,1,0,0,0,1,0,1,64
3084,1,0,0,0,1,0,0,64
3096,1,0,0,0,1,0,1,64
3100,1,1,0,0,1,0,1,64
3108,1,1,0,0,1,0,1,64
3110,1,1,0,0,1,0,1,15
3120,0,0,0,0,1,0,1,15
3132,1,0,0,0,1,0,0,15
3140,1,1,0,0,1,0,0,15
3144,1,1,0,0,1,0,1,15
3150,1,1,0,0,1,0,1,242
3156,1,1,0,0,1,0,1,242
3168,1,1,0,0,1,0,0,242
3170,1,1,0,0,1,0,0,47
3180,1,1,0,0,1,0,1,47
3190,1,1,0,0,1,0,1,32
3192,0,1,0,0,1,0,1,32
3204,1,1,0,0,1,0,1,32
3210,1,1,0,0,1,0,1,158
3216,1,1,0,0,1,0,1,158
3220,1,0,0,0,1,0,1,158
3228,0,0,0,0,1,0,1,158
3280,0,1,0,0,1,0,1,158
3290,0,1,0,0,1,0,1,68
3300,1,1,0,0,1,0,0,68
3310,1,1,0,0,1,0,0,199
3312,0,1,0,0,1,0,0,199
3330,0,1,0,0,1,0,0,235
3350,0,1,0,0,1,0,0,32
3360,0,0,0,0,1,0,0,32
3380,0,1,0,0,1,0,0,32
3390,0,1,0,0,1,0,0,185
3396,1,1,0,0,1,0,1,185
3410,1,1,0,0,1,0,1,69
3420,1,0,0,0,1,0,0,69
3432,0,0,0,0,1,0,0,69
3440,0,1,0,0,1,0,0,69
3444,1,1,0,0,1,0,1,69
3450,1,1,0,0,1,0,1,146
3456,1,1,0,0,1,0,0,146
3468,0,1,0,0,1,0,0,146
3470,0,1,0,0,1,0,0,151
3480,1,0,0,0,1,0,1,151
3492,1,0,0,0,1,0,0,151
3500,1,1,0,0,1,0,0,151
3504,0,1,0,0,1,0,0,151
3510,0,1,0,0,1,0,0,213
3530,0,1,0,0,1,0,0,185
3552,1,1,0,0,1,0,1,185
3560,1,0,0,0,1,0,1,185
3564,0,0,0,0,1,0,1,185
3576,1,0,0,0,1,0,0,185
3588,1,0,0,0,1,0,1,185
3600,1,0,0,0,1,0,1,185
3612,0,0,0,0,1,0,1,185
3636,1,0,0,0,1,0,0,185
3648,0,0,0,0,1,0,0,185
3660,1,1,0,0,1,0,1,185
3670,1,1,0,0,1,0,1,57
3672,0,1,0,0,1,0,1,57
3690,0,1,0,0,1,0,1,130
3696,1,1,0,0,1,0,0,130
3700,1,0,0,0,1,0,0,130
3708,0,0,0,0,1,0,0,130
3720,1,0,0,0,1,0,0,130
3732,1,0,0,0,1,0,1,130
3740,1,1,0,0,1,0,1,130
3744,1,1,0,0,1,0,0,130
3750,1,1,0,0,1,0,0,38
3756,0,1,0,0,1,0,0,38
3768,1,1,0,0,1,0,1,38
3770,1,1,0,0,1,0,1,215
3774,1,1,1,0,1,0,1,215
3780,0,0,1,0,1,0,1,215
3786,0,0,0,0,1,0,1,215
3792,1,0,0,0,1,0,1,215
3800,1,1,0,0,1,0,1,215
3804,1,1,0,0,1,0,0,215
3810,1,1,1,0,1,0,0,136
3816,1,1,1,0,1,0,1,136
3828,1,1,1,0,1,0,1,136
3830,1,1,1,0,1,0,1,72
3840,1,0,1,0,1,0,0,72
3846,1,0,0,0,1,0,0,72
3852,1,0,0,0,1,0,0,72
3860,1,1,0,0,1,0,0,72
3864,1,1,0,0,1,0,1,72
3870,1,1,1,0,1,0,1,183
3876,1,1,1,0,1,0,1,183
3888,1,1,1,0,1,0,1,183
3890,1,1,1,0,1,0,1,74
3900,0,0,1,0,1,0,1,74
3906,0,0,0,0,1,0,1,74
3912,1,0,0,0,1,0,0,74
3924,1,0,0,0,1,0,1,74
3930,1,0,1,0,1,0,1,74
3936,0,0,1,0,1,0,1,74
3940,0,1,1,0,1,0,1,74
3948,1,1,1,0,1,0,0,74
3950,1,1,1,0,1,0,0,23
3960,1,0,1,0,1,0,0,23
3972,1,0,1,0,1,0,1,23
3978,1,0,0,0,1,0,1,23
3980,1,1,0,0,1,0,1,23
3984,1,1,0,0,1,0,0,23
3990,1,1,1,0,1,0,0,206
3996,1,1,1,0,1,0,0,206
4000,1,0,1,0,1,0,0,206
4008,0,0,1,0,1,0,0,206
4026,0,0,0,0,1,0,0,206
