time_ns,winc,rinc,wFull,rEmpty,wHalfFull,rHalfEmpty,wData,rData
1416,1,0,0,0,0,1,37,64
1428,1,0,0,0,0,1,88,64
1440,0,0,0,0,0,1,237,64
1452,1,0,0,0,0,1,211,64
1464,0,0,0,0,0,1,17,64
1476,1,0,0,0,0,1,68,64
1480,1,1,0,0,0,1,68,64
1488,0,1,0,0,0,1,209,64
1490,0,1,0,0,0,1,209,94
1500,1,0,0,0,0,1,21,94
1512,0,0,0,0,0,1,123,94
1524,1,0,0,0,0,1,2,94
1536,0,0,0,0,0,1,206,94
1548,0,0,0,0,0,1,243,94
1560,0,0,0,0,0,1,20,94
1572,0,0,0,0,0,1,178,94
1580,0,1,0,0,0,1,178,94
1584,0,1,0,0,0,1,172,94
1590,0,1,0,0,0,1,172,2
1596,1,1,0,0,0,1,250,2
1600,1,0,0,0,0,1,250,2
1608,1,0,0,0,0,1,192,2
1620,1,1,0,0,0,1,1,2
1630,1,1,0,0,0,1,1,196
1632,1,1,0,0,0,1,135,196
1640,1,0,0,0,0,1,135,196
1644,0,0,0,0,0,1,179,196
1656,1,0,0,0,0,1,215,196
1660,1,1,0,0,0,1,215,196
1668,0,1,0,0,0,1,2,196
1670,0,1,0,0,0,1,2,7
1680,0,1,0,0,0,1,29,7
1690,0,1,0,0,0,1,29,218
1692,0,1,0,0,0,1,144,218
1700,0,0,0,0,0,1,144,218
1704,0,0,0,0,0,1,123,218
1716,1,0,0,0,0,1,139,218
1720,1,1,0,0,0,1,139,218
1728,1,1,0,0,0,1,252,218
1730,1,1,0,0,0,1,252,246
1740,1,1,0,0,0,1,5,246
1746,1,1,0,0,1,1,5,246
1750,1,1,0,0,1,1,5,165
1752,1,1,0,0,1,1,208,165
1764,0,1,0,0,1,1,0,165
1770,0,1,0,0,1,1,0,202
1776,1,1,0,0,1,1,216,202
1780,1,0,0,0,1,1,216,202
1788,0,0,0,0,1,1,254,202
1800,0,0,0,0,1,1,98,202
1806,0,0,0,0,0,1,98,202
1812,0,0,0,0,0,1,217,202
1824,1,0,0,0,0,1,237,202
1830,1,0,0,0,1,1,237,202
1836,0,0,0,0,1,1,198,202
1848,0,0,0,0,1,1,163,202
1860,0,0,0,0,1,1,93,202
1872,0,0,0,0,1,1,33,202
1880,0,1,0,0,1,1,33,202
1884,0,1,0,0,1,1,18,202
1890,0,1,0,0,1,1,18,241
1896,0,1,0,0,1,1,216,241
1900,0,0,0,0,1,1,216,241
1908,1,0,0,0,1,1,60,241
1920,0,1,0,0,1,1,70,241
1930,0,1,0,0,1,1,70,205
1932,0,1,0,0,1,1,129,205
1940,0,0,0,0,1,1,129,205
1944,0,0,0,0,1,1,191,205
