time_ns,winc,rinc,wFull,rEmpty,wHalfFull,rHalfEmpty,wData,rData
1700,1,1,0,0,0,1,1,8
1704,1,1,0,0,0,1,135,8
1710,1,1,0,0,0,1,135,213
1716,0,1,0,0,0,1,179,213
1720,0,0,0,0,0,1,179,213
1728,1,0,0,0,0,1,215,213
1740,0,1,0,0,0,1,2,213
1750,0,1,0,0,0,1,2,26
1752,0,1,0,0,0,1,29,26
1760,0,0,0,0,0,1,29,26
1764,0,0,0,0,0,1,144,26
1776,0,0,0,0,0,1,123,26
1780,0,1,0,0,0,1,123,26
1788,1,1,0,0,0,1,139,26
1790,1,1,0,0,0,1,139,106
1800,1,1,0,0,0,1,252,106
1810,1,1,0,0,0,1,252,198
1812,1,1,0,0,0,1,5,198
1820,1,0,0,0,0,1,5,198
1824,1,0,0,0,0,1,208,198
1836,0,0,0,0,0,1,0,198
1840,0,1,0,0,0,1,0,198
1848,1,1,0,0,0,1,216,198
1850,1,1,0,0,0,1,216,126
1860,0,1,0,0,0,1,254,126
1870,0,1,0,0,0,1,254,37
1872,0,1,0,0,0,1,98,37
1884,0,1,0,0,0,1,217,37
1890,0,1,0,0,0,1,217,88
1896,1,1,0,0,0,1,237,88
1900,1,0,0,0,0,1,237,88
1908,0,0,0,0,0,1,198,88
1920,0,0,0,0,0,1,163,88
1932,0,0,0,0,0,1,93,88
1944,0,0,0,0,0,1,33,88
1956,0,0,0,0,0,1,18,88
1968,0,0,0,0,0,1,216,88
1980,1,0,0,0,0,1,60,88
1992,0,0,0,0,0,1,70,88
2000,0,1,0,0,0,1,70,88
2004,0,1,0,0,0,1,129,88
2010,0,1,0,0,0,1,129,211
2016,0,1,0,0,0,1,191,211
2020,0,0,0,0,0,1,191,211
2028,0,0,0,0,0,1,163,211
2040,1,1,0,0,0,1,160,211
2050,1,1,0,0,0,1,160,68
2052,0,1,0,0,0,1,29,68
2060,0,0,0,0,0,1,29,68
2064,0,0,0,0,0,1,69,68
2076,1,0,0,0,0,1,83,68
2088,0,0,0,0,0,1,51,68
2100,1,1,0,0,0,1,173,68
2110,1,1,0,0,0,1,173,21
2112,1,1,0,0,0,1,195,21
2124,0,1,0,0,0,1,222,21
2130,0,1,0,0,0,1,222,2
2136,0,1,0,0,0,1,238,2
2148,0,1,0,0,0,1,55,2
2150,0,1,0,0,0,1,55,250
2160,0,1,0,0,0,1,11,250
2170,0,1,0,0,0,1,11,192
2172,0,1,0,0,0,1,198,192
2180,0,0,0,0,0,1,198,192
2184,0,0,0,0,0,1,155,192
2196,1,0,0,0,0,1,73,192
2200,1,1,0,0,0,1,73,192
2208,0,1,0,0,0,1,74,192
2210,0,1,0,0,0,1,74,1
2220,0,1,0,0,0,1,191,1
2230,0,1,0,0,0,1,191,135
2232,0,1,0,0,0,1,184,135
2244,1,1,0,0,0,1,218,135
2250,1,1,0,0,0,1,218,215
2256,0,1,0,0,0,1,98,215
2268,0,1,0,0,0,1,242,215
2270,0,1,0,0,0,1,242,139
2280,0,1,0,0,0,1,15,139
2290,0,1,0,0,0,1,15,252
2292,1,1,0,0,0,1,98,252
2304,1,1,0,0,0,1,198,252
2310,1,1,0,0,0,1,198,5
2316,0,1,0,0,0,1,253,5
2328,1,1,0,0,0,1,104,5
2330,1,1,0,0,0,1,104,208
2340,0,0,0,0,0,1,27,208
2352,1,0,0,0,0,1,113,208
2364,0,0,0,0,0,1,208,208
2376,1,0,0,0,0,1,221,208
2380,1,1,0,0,0,1,221,208
2388,1,1,0,0,0,1,61,208
2390,1,1,0,0,0,1,61,216
2400,1,0,0,0,0,1,220,216
2412,1,0,0,0,0,1,239,216
2420,1,1,0,0,0,1,239,216
2424,1,1,0,0,0,1,66,216
2430,1,1,0,0,0,1,66,237
2436,1,1,0,0,0,1,39,237
2448,1,1,0,0,0,1,49,237
2450,1,1,0,0,0,1,49,60
2460,1,0,0,0,0,1,95,60
2472,0,0,0,0,0,1,99,60
2480,0,1,0,0,0,1,99,60
2484,1,1,0,0,0,1,243,60
2490,1,1,0,0,0,1,243,160
2496,1,1,0,0,0,1,45,160
2508,0,1,0,0,0,1,123,160
2510,0,1,0,0,0,1,123,83
2520,0,0,0,0,0,1,45,83
2532,0,0,0,0,0,1,219,83
2540,0,1,0,0,0,1,219,83
2544,0,1,0,0,0,1,84,83
2550,0,1,0,0,0,1,84,173
2556,0,1,0,0,0,1,213,173
2560,0,0,0,0,0,1,213,173
2568,0,0,0,0,0,1,244,173
2580,0,0,0,0,0,1,145,173
2592,1,0,0,0,0,1,150,173
2604,1,0,0,0,0,1,127,173
2616,1,0,0,0,0,1,122,173
2620,1,1,0,0,0,1,122,173
2628,1,1,0,0,0,1,152,173
2630,1,1,0,0,0,1,152,195
2640,0,1,0,0,0,1,221,195
2650,0,1,0,0,0,1,221,73
2652,0,1,0,0,0,1,167,73
2664,0,1,0,0,0,1,187,73
2670,0,1,0,0,0,1,187,218
2676,0,1,0,0,0,1,5,218
2688,0,1,0,0,0,1,170,218
2690,0,1,0,0,0,1,170,98
2700,0,0,0,0,0,1,246,98
2712,1,0,0,0,0,1,238,98
2720,1,1,0,0,0,1,238,98
2724,1,1,0,0,0,1,187,98
2730,1,1,0,0,0,1,187,198
2736,1,1,0,0,0,1,100,198
2740,1,0,0,0,0,1,100,198
2748,0,0,0,0,0,1,232,198
2760,0,1,0,0,0,1,114,198
2770,0,1,0,0,0,1,114,104
2772,0,1,0,0,0,1,116,104
2784,1,1,0,0,0,1,210,104
2790,1,1,0,0,0,1,210,113
2796,0,1,0,0,0,1,178,113
2800,0,0,0,0,0,1,178,113
2808,1,0,0,0,0,1,245,113
2820,0,1,0,0,0,1,250,113
2830,0,1,0,0,0,1,250,221
2832,0,1,0,0,0,1,200,221
2844,0,1,0,0,0,1,159,221
2850,0,1,0,0,0,1,159,61
2856,1,1,0,0,0,1,65,61
2860,1,0,0,0,0,1,65,61
2868,0,0,0,0,0,1,40,61
2880,0,0,0,0,0,1,7,61
2892,1,0,0,0,0,1,157,61
2904,1,0,0,0,0,1,82,61
2916,0,0,0,0,0,1,46,61
2920,0,1,0,0,0,1,46,61
2928,0,1,0,0,0,1,251,61
2930,0,1,0,0,0,1,251,220
2940,0,0,0,0,0,1,26,220
2952,1,0,0,0,0,1,139,220
2960,1,1,0,0,0,1,139,220
2964,0,1,0,0,0,1,112,220
2970,0,1,0,0,0,1,112,239
2976,0,1,0,0,0,1,139,239
2988,0,1,0,0,0,1,81,239
2990,0,1,0,0,0,1,81,66
3000,0,1,0,0,0,1,60,66
3010,0,1,0,0,0,1,60,39
3012,1,1,0,0,0,1,223,39
3020,1,0,0,0,0,1,223,39
3024,1,0,0,0,0,1,213,39
3036,1,0,0,0,0,1,198,39
3040,1,1,0,0,0,1,198,39
3048,1,1,0,0,0,1,185,39
3050,1,1,0,0,0,1,185,49
3060,0,1,0,0,0,1,191,49
3070,0,1,0,0,0,1,191,95
3072,0,1,0,0,0,1,129,95
3084,1,1,0,0,0,1,108,95
3090,1,1,0,0,0,1,108,243
3096,1,1,0,0,0,1,135,243
3108,0,1,0,0,0,1,200,243
3110,0,1,0,0,0,1,200,45
3120,1,0,0,0,0,1,51,45
3132,0,0,0,0,0,1,119,45
3140,0,1,0,0,0,1,119,45
3144,1,1,0,0,0,1,6,45
3150,1,1,0,0,0,1,6,150
3156,1,1,0,0,0,1,70,150
3168,0,1,0,0,0,1,173,150
3170,0,1,0,0,0,1,173,127
3180,0,1,0,0,0,1,226,127
3190,0,1,0,0,0,1,226,122
3192,1,1,0,0,0,1,119,122
3204,1,1,0,0,0,1,63,122
3210,1,1,0,0,0,1,63,152
3216,0,1,0,0,0,1,107,152
3228,0,1,0,0,0,1,61,152
3230,0,1,0,0,0,1,61,238
3240,0,1,0,0,0,1,74,238
3250,0,1,0,0,0,1,74,187
3252,1,1,0,0,0,1,109,187
3260,1,0,0,0,0,1,109,187
3264,1,0,0,0,0,1,15,187
3276,1,0,0,0,0,1,12,187
3280,1,1,0,0,0,1,12,187
3288,1,1,0,0,0,1,143,187
3290,1,1,0,0,0,1,143,100
3300,0,0,0,0,0,1,11,100
3312,1,0,0,0,0,1,120,100
3324,1,0,0,0,0,1,128,100
3336,1,0,0,0,0,1,10,100
3340,1,1,0,0,0,1,10,100
3348,1,1,0,0,0,1,109,100
3350,1,1,0,0,0,1,109,210
3360,1,0,0,0,0,1,232,210
3372,0,0,0,0,0,1,213,210
3380,0,1,0,0,0,1,213,210
3384,0,1,0,0,0,1,169,210
3390,0,1,0,0,0,1,169,245
3396,1,1,0,0,0,1,199,245
3400,1,0,0,0,0,1,199,245
3408,0,0,0,0,0,1,5,245
3420,0,1,0,0,0,1,97,245
3430,0,1,0,0,0,1,97,65
3432,1,1,0,0,0,1,45,65
3444,1,1,0,0,0,1,161,65
3450,1,1,0,0,0,1,161,157
3456,0,1,0,0,0,1,250,157
3468,0,1,0,0,0,1,72,157
3470,0,1,0,0,0,1,72,82
3480,1,1,0,0,0,1,123,82
3490,1,1,0,0,0,1,123,139
3492,0,1,0,0,0,1,129,139
3500,0,0,0,0,0,1,129,139
3504,0,0,0,0,0,1,108,139
3516,1,0,0,0,0,1,249,139
3520,1,1,0,0,0,1,249,139
3528,1,1,0,0,0,1,138,139
3530,1,1,0,0,0,1,138,223
3540,1,1,0,0,0,1,131,223
3550,1,1,0,0,0,1,131,213
3552,1,1,0,0,0,1,51,213
3560,1,0,0,0,0,1,51,213
3564,0,0,0,0,0,1,206,213
3576,1,0,0,0,0,1,35,213
3588,1,0,0,0,0,1,80,213
3600,1,1,0,0,0,1,104,213
3610,1,1,0,0,0,1,104,198
3612,1,1,0,0,0,1,243,198
3620,1,0,0,0,0,1,243,198
3624,0,0,0,0,0,1,72,198
3636,1,0,0,0,0,1,123,198
3648,0,0,0,0,0,1,86,198
3660,0,1,0,0,0,1,222,198
3670,0,1,0,0,0,1,222,185
3672,0,1,0,0,0,1,64,185
3680,0,0,0,0,0,1,64,185
3684,0,0,0,0,0,1,38,185
3696,0,0,0,0,0,1,19,185
3700,0,1,0,0,0,1,19,185
3708,0,1,0,0,0,1,27,185
3710,0,1,0,0,0,1,27,108
3720,0,0,0,0,0,1,211,108
3732,1,0,0,0,0,1,46,108
3740,1,1,0,0,0,1,46,108
3744,1,1,0,0,0,1,151,108
3750,1,1,0,0,0,1,151,135
3756,0,1,0,0,0,1,233,135
3768,1,1,0,0,0,1,30,135
3770,1,1,0,0,0,1,30,51
3780,1,0,0,0,0,1,58,51
3792,0,0,0,0,0,1,136,51
3800,0,1,0,0,0,1,136,51
3804,0,1,0,0,0,1,18,51
3810,0,1,0,0,0,1,18,6
3816,1,1,0,0,0,1,84,6
3828,0,1,0,0,0,1,226,6
3830,0,1,0,0,0,1,226,70
3840,1,0,0,0,0,1,217,70
3852,0,0,0,0,0,1,232,70
3860,0,1,0,0,0,1,232,70
3864,1,1,0,0,0,1,203,70
3870,1,1,0,0,0,1,203,119
3876,1,1,0,0,0,1,103,119
3880,1,0,0,0,0,1,103,119
3882,1,0,0,0,1,1,103,119
3888,1,0,0,0,1,1,70,119
3900,0,0,0,0,1,1,94,119
3912,0,0,0,0,1,1,161,119
3920,0,1,0,0,1,1,161,119
3924,1,1,0,0,1,1,182,119
3930,1,1,0,0,1,1,182,63
3936,0,1,0,0,1,1,91,63
3940,0,0,0,0,1,1,91,63
3948,1,0,0,0,1,1,29,63
3960,0,0,0,0,1,1,14,63
3972,1,0,0,0,1,1,79,63
3980,1,1,0,0,1,1,79,63
3984,1,1,0,0,1,1,8,63
3990,1,1,0,0,1,1,8,109
3996,1,1,0,0,1,1,157,109
4008,0,1,0,0,1,1,76,109
4010,0,1,0,0,1,1,76,15
4020,1,1,0,0,1,1,214,15
4030,1,1,0,0,1,1,214,12
4032,0,1,0,0,1,1,217,12
4040,0,0,0,0,1,1,217,12
4044,0,0,0,0,1,1,186,12
4050,0,0,0,0,1,0,186,12
4056,1,0,0,0,1,0,234,12
4068,0,0,0,0,1,0,6,12
4080,1,0,0,0,1,0,75,12
4092,1,0,0,0,1,0,252,12
4100,1,1,0,0,1,0,252,12
4104,0,1,0,0,1,0,190,12
4110,0,1,0,0,1,0,190,143
4116,1,1,0,0,1,0,62,143
4120,1,0,0,0,1,0,62,143
4128,1,0,0,0,1,0,142,143
4140,0,1,0,0,1,0,154,143
4150,0,1,0,0,1,0,154,120
4152,1,1,0,0,1,0,129,120
4160,1,0,0,0,1,0,129,120
4164,0,0,0,0,1,0,198,120
4176,0,0,0,0,1,0,68,120
4180,0,1,0,0,1,0,68,120
4188,1,1,0,0,1,0,61,120
4190,1,1,0,0,1,0,61,128
4200,0,0,0,0,1,0,26,128
4212,0,0,0,0,1,0,107,128
4220,0,1,0,0,1,0,107,128
4224,1,1,0,0,1,0,88,128
