time_ns,wclk,rclk,wptr_dec,rptr_dec,wen,ren,wFull,wHalfFull,rEmpty,rHalfEmpty
568.75,1,0,27,0,1,0,0,0,0,1
570,1,1,27,0,1,0,0,0,0,1
575,0,1,27,0,1,0,0,0,0,1
580,0,0,27,0,1,0,0,0,0,1
581.25,1,0,28,0,1,0,0,0,0,1
587.5,0,0,28,0,1,0,0,0,0,1
590,0,1,28,0,1,0,0,0,0,1
593.75,1,1,29,0,1,0,0,0,0,1
600,0,0,29,0,1,0,0,0,0,1
606.25,1,0,30,0,1,0,0,0,0,1
610,1,1,30,0,1,0,0,0,0,1
612.5,0,1,30,0,1,0,0,0,0,1
618.75,1,1,31,0,1,0,0,0,0,1
620,1,0,31,0,1,0,0,0,0,1
625,0,0,31,0,1,0,0,0,0,1
630,0,1,31,0,1,0,0,0,0,1
631.25,1,1,32,0,1,0,0,1,0,1
637.5,0,1,32,0,0,0,0,1,0,1
640,0,0,32,0,0,0,0,1,0,1
643.75,1,0,32,0,0,0,0,1,0,1
650,0,1,32,0,1,0,0,1,0,1
656.25,1,1,33,0,1,0,0,1,0,1
660,1,0,33,0,1,0,0,1,0,1
662.5,0,0,33,0,1,0,0,1,0,1
668.75,1,0,34,0,1,0,0,1,0,1
670,1,1,34,0,1,0,0,1,0,1
675,0,1,34,0,1,0,0,1,0,1
680,0,0,34,0,1,0,0,1,0,1
681.25,1,0,35,0,1,0,0,1,0,1
687.5,0,0,35,0,1,0,0,1,0,1
690,0,1,35,0,1,0,0,1,0,1
693.75,1,1,36,0,1,0,0,1,0,1
700,0,0,36,0,1,0,0,1,0,1
706.25,1,0,37,0,1,0,0,1,0,1
710,1,1,37,0,1,0,0,1,0,0
712.5,0,1,37,0,1,0,0,1,0,0
718.75,1,1,38,0,1,0,0,1,0,0
720,1,0,38,0,1,0,0,1,0,0
725,0,0,38,0,1,0,0,1,0,0
730,0,1,38,0,1,0,0,1,0,0
731.25,1,1,39,0,1,0,0,1,0,0
737.5,0,1,39,0,1,0,0,1,0,0
740,0,0,39,0,1,0,0,1,0,0
743.75,1,0,40,0,1,0,0,1,0,0
750,0,1,40,0,1,0,0,1,0,0
756.25,1,1,41,0,1,0,0,1,0,0
760,1,0,41,0,1,0,0,1,0,0
762.5,0,0,41,0,1,0,0,1,0,0
768.75,1,0,42,0,1,0,0,1,0,0
770,1,1,42,0,1,0,0,1,0,0
775,0,1,42,0,1,0,0,1,0,0
780,0,0,42,0,1,0,0,1,0,0
781.25,1,0,43,0,1,0,0,1,0,0
787.5,0,0,43,0,1,0,0,1,0,0
790,0,1,43,0,1,0,0,1,0,0
793.75,1,1,44,0,1,0,0,1,0,0
800,0,0,44,0,1,0,0,1,0,0
806.25,1,0,45,0,1,0,0,1,0,0
810,1,1,45,0,1,0,0,1,0,0
812.5,0,1,45,0,1,0,0,1,0,0
818.75,1,1,46,0,1,0,0,1,0,0
820,1,0,46,0,1,0,0,1,0,0
825,0,0,46,0,1,0,0,1,0,0
830,0,1,46,0,1,0,0,1,0,0
831.25,1,1,47,0,1,0,0,1,0,0
837.5,0,1,47,0,1,0,0,1,0,0
840,0,0,47,0,1,0,0,1,0,0
843.75,1,0,48,0,1,0,0,1,0,0
850,0,1,48,0,1,0,0,1,0,0
856.25,1,1,49,0,1,0,0,1,0,0
860,1,0,49,0,1,0,0,1,0,0
862.5,0,0,49,0,1,0,0,1,0,0
868.75,1,0,50,0,1,0,0,1,0,0
870,1,1,50,0,1,0,0,1,0,0
875,0,1,50,0,1,0,0,1,0,0
880,0,0,50,0,1,0,0,1,0,0
881.25,1,0,51,0,1,0,0,1,0,0
887.5,0,0,51,0,1,0,0,1,0,0
890,0,1,51,0,1,0,0,1,0,0
893.75,1,1,52,0,1,0,0,1,0,0
900,0,0,52,0,1,0,0,1,0,0
906.25,1,0,53,0,1,0,0,1,0,0
910,1,1,53,0,1,0,0,1,0,0
912.5,0,1,53,0,1,0,0,1,0,0
918.75,1,1,54,0,1,0,0,1,0,0
920,1,0,54,0,1,0,0,1,0,0
925,0,0,54,0,1,0,0,1,0,0
930,0,1,54,0,1,0,0,1,0,0
931.25,1,1,55,0,1,0,0,1,0,0
937.5,0,1,55,0,1,0,0,1,0,0
940,0,0,55,0,1,0,0,1,0,0
943.75,1,0,56,0,1,0,0,1,0,0
950,0,1,56,0,1,0,0,1,0,0
956.25,1,1,57,0,1,0,0,1,0,0
960,1,0,57,0,1,0,0,1,0,0
962.5,0,0,57,0,1,0,0,1,0,0
968.75,1,0,58,0,1,0,0,1,0,0
970,1,1,58,0,1,0,0,1,0,0
975,0,1,58,0,1,0,0,1,0,0
980,0,0,58,0,1,0,0,1,0,0
981.25,1,0,59,0,1,0,0,1,0,0
987.5,0,0,59,0,1,0,0,1,0,0
990,0,1,59,0,1,0,0,1,0,0
993.75,1,1,60,0,1,0,0,1,0,0
1000,0,0,60,0,1,0,0,1,0,0
1006.25,1,0,61,0,1,0,0,1,0,0
1010,1,1,61,0,1,0,0,1,0,0
1012.5,0,1,61,0,1,0,0,1,0,0
1018.75,1,1,62,0,1,0,0,1,0,0
1020,1,0,62,0,1,0,0,1,0,0
1025,0,0,62,0,1,0,0,1,0,0
1030,0,1,62,0,1,0,0,1,0,0
1031.25,1,1,63,0,1,0,0,1,0,0
1037.5,0,1,63,0,1,0,0,1,0,0
1040,0,0,63,0,1,0,0,1,0,0
1043.75,1,0,64,0,1,0,1,1,0,0
1050,0,1,64,0,1,0,1,1,0,0
1056.25,1,1,64,0,1,0,1,1,0,0
1060,1,0,64,0,1,0,1,1,0,0
1062.5,0,0,64,0,0,0,1,1,0,0
1068.75,1,0,64,0,0,0,1,1,0,0
1070,1,1,64,0,0,0,1,1,0,0
1075,0,1,64,0,0,0,1,1,0,0
1080,0,0,64,0,0,0,1,1,0,0
1081.25,1,0,64,0,0,0,1,1,0,0
1087.5,0,0,64,0,0,0,1,1,0,0
1090,0,1,64,0,0,0,1,1,0,0
1093.75,1,1,64,0,0,0,1,1,0,0
1100,0,0,64,0,0,0,1,1,0,0
1106.25,1,0,64,0,0,0,1,1,0,0
