time_ns,wclk,rclk,wptr_dec,rptr_dec,wen,ren,wFull,wHalfFull,rEmpty,rHalfEmpty
2410,1,1,64,62,0,1,0,0,0,1
2412.5,0,1,64,62,0,1,0,0,0,1
2418.75,1,1,64,62,0,1,0,0,0,1
2420,1,0,64,62,0,1,0,0,0,1
2425,0,0,64,62,0,1,0,0,0,1
2430,0,1,64,63,0,1,0,0,0,1
2431.25,1,1,64,63,0,1,0,0,0,1
2437.5,0,1,64,63,0,1,0,0,0,1
2440,0,0,64,63,0,1,0,0,0,1
2443.75,1,0,64,63,0,1,0,0,0,1
2450,0,1,64,64,0,1,0,0,1,1
2456.25,1,1,64,64,0,1,0,0,1,1
2460,1,0,64,64,0,0,0,0,1,1
2462.5,0,0,64,64,0,0,0,0,1,1
2468.75,1,0,64,64,0,0,0,0,1,1
2470,1,1,64,64,0,0,0,0,1,1
2475,0,1,64,64,0,0,0,0,1,1
2480,0,0,64,64,0,0,0,0,1,1
2481.25,1,0,64,64,0,0,0,0,1,1
2487.5,0,0,64,64,0,0,0,0,1,1
2490,0,1,64,64,0,0,0,0,1,1
