time_ns,wclk,rclk,w_en,r_en,full,empty,half_full,half_empty,data_in,data_out
431.25,1,1,1,0,0,0,0,1,79,64
432.25,1,1,0,0,0,0,0,1,79,64
437.5,0,1,1,0,0,0,0,1,80,64
440,0,0,1,0,0,0,0,1,80,64
443.75,1,0,1,0,0,0,0,1,80,64
444.75,1,0,0,0,0,0,0,1,80,64
450,0,1,1,0,0,0,0,1,81,64
456.25,1,1,1,0,0,0,0,1,81,64
457.25,1,1,0,0,0,0,0,1,81,64
460,1,0,0,0,0,0,0,1,81,64
462.5,0,0,1,0,0,0,0,1,82,64
468.75,1,0,1,0,0,0,0,1,82,64
469.75,1,0,0,0,0,0,0,1,82,64
470,1,1,0,0,0,0,0,1,82,64
475,0,1,1,0,0,0,0,1,83,64
480,0,0,1,0,0,0,0,1,83,64
481.25,1,0,1,0,0,0,0,1,83,64
482.25,1,0,0,0,0,0,0,1,83,64
487.5,0,0,1,0,0,0,0,1,84,64
490,0,1,1,0,0,0,0,1,84,64
493.75,1,1,1,0,0,0,0,1,84,64
494.75,1,1,0,0,0,0,0,1,84,64
500,0,0,1,0,0,0,0,1,85,64
506.25,1,0,1,0,0,0,0,1,85,64
507.25,1,0,0,0,0,0,0,1,85,64
510,1,1,0,0,0,0,0,1,85,64
512.5,0,1,1,0,0,0,0,1,86,64
518.75,1,1,1,0,0,0,0,1,86,64
519.75,1,1,0,0,0,0,0,1,86,64
520,1,0,0,0,0,0,0,1,86,64
525,0,0,1,0,0,0,0,1,87,64
530,0,1,1,0,0,0,0,1,87,64
531.25,1,1,1,0,0,0,0,1,87,64
532.25,1,1,0,0,0,0,0,1,87,64
537.5,0,1,1,0,0,0,0,1,88,64
540,0,0,1,0,0,0,0,1,88,64
543.75,1,0,1,0,0,0,0,1,88,64
544.75,1,0,0,0,0,0,0,1,88,64
550,0,1,1,0,0,0,0,1,89,64
556.25,1,1,1,0,0,0,0,1,89,64
557.25,1,1,0,0,0,0,0,1,89,64
560,1,0,0,0,0,0,0,1,89,64
562.5,0,0,1,0,0,0,0,1,90,64
568.75,1,0,1,0,0,0,0,1,90,64
569.75,1,0,0,0,0,0,0,1,90,64
570,1,1,0,0,0,0,0,1,90,64
575,0,1,1,0,0,0,0,1,91,64
580,0,0,1,0,0,0,0,1,91,64
581.25,1,0,1,0,0,0,0,1,91,64
582.25,1,0,0,0,0,0,0,1,91,64
587.5,0,0,1,0,0,0,0,1,92,64
590,0,1,1,0,0,0,0,1,92,64
593.75,1,1,1,0,0,0,0,1,92,64
594.75,1,1,0,0,0,0,0,1,92,64
600,0,0,1,0,0,0,0,1,93,64
606.25,1,0,1,0,0,0,0,1,93,64
607.25,1,0,0,0,0,0,0,1,93,64
610,1,1,0,0,0,0,0,1,93,64
612.5,0,1,1,0,0,0,0,1,94,64
618.75,1,1,1,0,0,0,0,1,94,64
619.75,1,1,0,0,0,0,0,1,94,64
620,1,0,0,0,0,0,0,1,94,64
625,0,0,1,0,0,0,0,1,95,64
630,0,1,1,0,0,0,0,1,95,64
631.25,1,1,1,0,0,0,1,1,95,64
632.25,1,1,0,0,0,0,1,1,95,64
637.5,0,1,1,0,0,0,1,1,96,64
640,0,0,1,0,0,0,1,1,96,64
