time_ns,winc,rinc,wFull,rEmpty,wHalfFull,rHalfEmpty,error_flag,wData,rData,w_count,r_count
1970,0,1,0,0,0,1,0,229,0,38,23
1980,1,0,0,0,0,1,0,250,0,39,24
1992,1,0,0,0,0,1,0,95,0,40,24
2004,1,0,0,0,0,1,0,10,0,41,24
2016,0,0,0,0,0,1,0,10,0,41,24
2040,1,1,0,0,0,1,0,17,0,42,24
2052,1,1,0,0,0,1,0,110,0,43,24
2060,1,0,0,0,0,1,0,110,0,43,25
2064,1,0,0,0,0,1,0,122,0,44,25
2076,1,0,0,0,0,1,0,51,0,45,25
2088,1,0,0,0,0,1,0,134,0,46,25
2100,1,0,0,0,0,1,0,131,0,47,25
2112,0,0,0,0,0,1,0,131,0,47,25
2136,1,0,0,0,0,1,0,214,0,48,25
2140,1,1,0,0,0,1,0,214,0,48,25
2148,0,1,0,0,0,1,0,214,0,48,25
2150,0,1,0,0,0,1,0,214,1,48,25
2160,1,0,0,0,0,1,0,7,1,49,26
2172,0,0,0,0,0,1,0,7,1,49,26
2180,0,1,0,0,0,1,0,7,1,49,26
2184,1,1,0,0,0,1,0,170,1,50,26
2190,1,1,0,0,0,1,0,170,1,50,26
2196,1,1,0,0,0,1,0,77,1,51,26
2200,1,1,0,0,0,1,0,77,1,51,27
2208,1,1,0,0,0,1,0,168,1,52,27
2210,1,1,0,0,0,1,0,168,1,52,27
2220,1,1,0,0,0,1,0,48,1,53,28
2230,1,1,0,0,0,1,0,48,0,53,28
2232,1,1,0,0,0,1,0,92,0,54,28
2240,1,0,0,0,0,1,0,92,0,54,29
2244,0,0,0,0,0,1,0,92,0,54,29
2280,1,0,0,0,0,1,0,175,0,55,29
2292,1,0,0,0,0,1,0,106,0,56,29
2304,0,0,0,0,0,1,0,106,0,56,29
2316,1,0,0,0,0,1,0,65,0,57,29
2320,1,1,0,0,0,1,0,65,0,57,29
2328,0,1,0,0,0,1,0,65,0,57,29
2330,0,1,0,0,0,1,0,65,1,57,29
2340,1,0,0,0,0,1,0,58,1,58,30
2352,1,0,0,0,0,1,0,136,1,59,30
2364,1,0,0,0,0,1,0,170,1,60,30
2376,0,0,0,0,0,1,0,170,1,60,30
2412,1,0,0,0,0,1,0,53,1,61,30
2420,1,1,0,0,0,1,0,53,1,61,30
2424,1,1,0,0,0,1,0,240,1,62,30
2430,1,1,0,0,1,1,0,240,1,62,30
2436,1,1,0,0,1,1,0,129,1,63,30
2440,1,0,0,0,1,1,0,129,1,63,31
2448,1,0,0,0,1,1,0,214,1,64,31
2460,1,1,0,0,1,1,0,100,1,65,31
2470,1,1,0,0,1,1,0,100,0,65,31
2472,0,1,0,0,1,1,0,100,0,65,31
2480,0,0,0,0,1,1,0,100,0,65,32
2484,1,0,0,0,1,1,0,237,0,66,32
2490,1,0,0,0,1,0,0,237,0,66,32
2496,0,0,0,0,1,0,0,237,0,66,32
2508,1,0,0,0,1,0,0,184,0,67,32
2520,1,1,0,0,1,0,0,44,0,68,32
2530,1,1,0,0,1,0,0,44,1,68,32
2532,1,1,0,0,1,0,0,221,1,69,32
2540,1,1,0,0,1,0,0,221,1,69,33
2544,1,1,0,0,1,0,0,17,1,70,33
2550,1,1,0,0,1,0,0,17,1,70,33
2556,0,1,0,0,1,0,0,17,1,70,33
2560,0,0,0,0,1,0,0,17,1,70,34
2568,1,0,0,0,1,0,0,93,1,71,34
2580,0,0,0,0,1,0,0,93,1,71,34
2592,1,0,0,0,1,0,0,146,1,72,34
2600,1,1,0,0,1,0,0,146,1,72,34
2604,0,1,0,0,1,0,0,146,1,72,34
2610,0,1,0,0,1,0,0,146,0,72,34
2616,1,1,0,0,1,0,0,4,0,73,34
2620,1,1,0,0,1,0,0,4,0,73,35
2628,1,1,0,0,1,0,0,197,0,74,35
2640,0,1,0,0,1,0,0,197,0,74,36
2650,0,1,0,0,1,0,0,197,1,74,36
2660,0,1,0,0,1,0,0,197,1,74,37
2664,1,1,0,0,1,0,0,7,1,75,37
2670,1,1,0,0,1,0,0,7,1,75,37
2676,1,1,0,0,1,0,0,140,1,76,37
2680,1,0,0,0,1,0,0,140,1,76,38
2688,0,0,0,0,1,0,0,140,1,76,38
2700,1,0,0,0,1,0,0,123,1,77,38
2712,1,0,0,0,1,0,0,223,1,78,38
2724,0,0,0,0,1,0,0,223,1,78,38
2736,1,0,0,0,1,0,0,33,1,79,38
2748,0,0,0,0,1,0,0,33,1,79,38
2760,1,1,0,0,1,0,0,209,1,80,38
2770,1,1,0,0,1,0,0,209,1,80,38
2772,0,1,0,0,1,0,0,209,1,80,38
2780,0,0,0,0,1,0,0,209,1,80,39
2784,1,0,0,0,1,0,0,98,1,81,39
2796,0,0,0,0,1,0,0,98,1,81,39
2800,0,1,0,0,1,0,0,98,1,81,39
2808,1,1,0,0,1,0,0,161,1,82,39
2810,1,1,0,0,1,0,0,161,0,82,39
2820,0,0,0,0,1,0,0,161,0,82,40
2832,1,0,0,0,1,0,0,132,0,83,40
2844,0,0,0,0,1,0,0,132,0,83,40
2860,0,1,0,0,1,0,0,132,0,83,40
2868,1,1,0,0,1,0,0,65,0,84,40
2880,1,0,0,0,1,0,0,152,0,85,41
2892,1,0,0,0,1,0,0,198,0,86,41
2904,0,0,0,0,1,0,0,198,0,86,41
2916,1,0,0,0,1,0,0,62,0,87,41
2920,1,1,0,0,1,0,0,62,0,87,41
2928,0,1,0,0,1,0,0,62,0,87,41
2930,0,1,0,0,1,0,0,62,1,87,41
2940,1,1,0,0,1,0,0,160,1,88,42
2950,1,1,0,0,1,0,0,160,1,88,42
2952,1,1,0,0,1,0,0,189,1,89,42
2960,1,1,0,0,1,0,0,189,1,89,43
2964,0,1,0,0,1,0,0,189,1,89,43
2970,0,1,0,0,1,0,0,189,1,89,43
2976,1,1,0,0,1,0,0,169,1,90,43
2980,1,1,0,0,1,0,0,169,1,90,44
2988,1,1,0,0,1,0,0,241,1,91,44
2990,1,1,0,0,1,0,0,241,0,91,44
3000,1,0,0,0,1,0,0,218,0,92,45
3012,0,0,0,0,1,0,0,218,0,92,45
3020,0,1,0,0,1,0,0,218,0,92,45
3030,0,1,0,0,1,0,0,218,1,92,45
3036,1,1,0,0,1,0,0,197,1,93,45
3040,1,1,0,0,1,0,0,197,1,93,46
3048,1,1,0,0,1,0,0,152,1,94,46
3050,1,1,0,0,1,0,0,152,0,94,46
3060,0,1,0,0,1,0,0,152,0,94,47
3070,0,1,0,0,1,0,0,152,1,94,47
3072,1,1,0,0,1,0,0,112,1,95,47
3080,1,0,0,0,1,0,0,112,1,95,48
3084,1,0,0,0,1,0,0,172,1,96,48
3096,1,0,0,0,1,0,0,193,1,97,48
3108,1,0,0,0,1,0,0,95,1,98,48
3120,1,0,0,0,1,0,0,68,1,99,48
3132,1,0,0,0,1,0,0,57,1,100,48
3144,0,0,0,0,1,0,0,57,1,100,48
3156,1,0,0,0,1,0,0,52,1,101,48
3168,0,0,0,0,1,0,0,52,1,101,48
3180,0,1,0,0,1,0,0,52,1,101,48
3190,0,1,0,0,1,0,0,52,0,101,48
3200,0,1,0,0,1,0,0,52,0,101,49
3210,0,1,0,0,1,0,0,52,1,101,49
3216,1,1,0,0,1,0,0,172,1,102,49
3220,1,0,0,0,1,0,0,172,1,102,50
3228,1,0,0,0,1,0,0,32,1,103,50
3240,0,1,0,0,1,0,0,32,1,103,50
3250,0,1,0,0,1,0,0,32,0,103,50
3252,1,1,0,0,1,0,0,179,0,104,50
3260,1,0,0,0,1,0,0,179,0,104,51
3264,1,0,0,0,1,0,0,202,0,105,51
3276,0,0,0,0,1,0,0,202,0,105,51
3312,1,0,0,0,1,0,0,19,0,106,51
3324,0,0,0,0,1,0,0,19,0,106,51
3336,1,0,0,0,1,0,0,63,0,107,51
3348,0,0,0,0,1,0,0,63,0,107,51
3360,0,1,0,0,1,0,0,63,0,107,51
3370,0,1,0,0,1,0,0,63,1,107,51
3380,0,1,0,0,1,0,0,63,1,107,52
3384,1,1,0,0,1,0,0,78,1,108,52
3390,1,1,0,0,1,0,0,78,0,108,52
3396,0,1,0,0,1,0,0,78,0,108,52
3400,0,0,0,0,1,0,0,78,0,108,53
3408,1,0,0,0,1,0,0,90,0,109,53
3420,0,1,0,0,1,0,0,90,0,109,53
3430,0,1,0,0,1,0,0,90,1,109,53
3432,1,1,0,0,1,0,0,169,1,110,53
3440,1,0,0,0,1,0,0,169,1,110,54
3444,0,0,0,0,1,0,0,169,1,110,54
3456,1,0,0,0,1,0,0,82,1,111,54
3460,1,1,0,0,1,0,0,82,1,111,54
3468,0,1,0,0,1,0,0,82,1,111,54
3470,0,1,0,0,1,0,0,82,1,111,54
3480,1,1,0,0,1,0,0,37,1,112,55
3490,1,1,0,0,1,0,0,37,0,112,55
3492,1,1,0,0,1,0,0,161,0,113,55
3500,1,0,0,0,1,0,0,161,0,113,56
3504,1,0,0,0,1,0,0,253,0,114,56
3516,1,0,0,0,1,0,0,69,0,115,56
3520,1,1,0,0,1,0,0,69,0,115,56
3528,0,1,0,0,1,0,0,69,0,115,56
3530,0,1,0,0,1,0,0,69,0,115,56
3540,0,1,0,0,1,0,0,69,0,115,57
3550,0,1,0,0,1,0,0,69,0,115,57
3560,0,1,0,0,1,0,0,69,0,115,58
3570,0,1,0,0,1,0,0,69,1,115,58
3576,1,1,0,0,1,0,0,88,1,116,58
3580,1,0,0,0,1,0,0,88,1,116,59
3588,1,0,0,0,1,0,0,61,1,117,59
3600,0,1,0,0,1,0,0,61,1,117,59
3612,1,1,0,0,1,0,0,200,1,118,59
3620,1,0,0,0,1,0,0,200,1,118,60
3624,1,0,0,0,1,0,0,94,1,119,60
3636,1,0,0,0,1,0,0,128,1,120,60
3648,1,0,0,0,1,0,0,252,1,121,60
3660,0,1,0,0,1,0,0,252,1,121,60
3670,0,1,0,0,1,0,0,252,0,121,60
3672,1,1,0,0,1,0,0,115,0,122,60
3680,1,1,0,0,1,0,0,115,0,122,61
3684,0,1,0,0,1,0,0,115,0,122,61
3690,0,1,0,0,1,0,0,115,1,122,61
3700,0,0,0,0,1,0,0,115,1,122,62
3708,1,0,0,0,1,0,0,124,1,123,62
3720,1,0,0,0,1,0,0,21,1,124,62
3732,0,0,0,0,1,0,0,21,1,124,62
3740,0,1,0,0,1,0,0,21,1,124,62
3744,1,1,0,0,1,0,0,80,1,125,62
3750,1,1,0,0,1,0,0,80,0,125,62
3756,1,1,0,0,1,0,0,141,0,126,62
3760,1,0,0,0,1,0,0,141,0,126,63
3762,1,0,1,0,1,0,0,141,0,126,63
3768,0,0,1,0,1,0,0,141,0,126,63
3780,1,1,1,0,1,0,0,141,0,126,63
3786,1,1,0,0,1,0,0,141,0,126,63
3790,1,1,0,0,1,0,0,141,1,126,63
3792,1,1,0,0,1,0,0,40,1,127,63
3798,1,1,1,0,1,0,0,40,1,127,63
3800,1,0,1,0,1,0,0,40,1,127,64
3804,0,0,1,0,1,0,0,40,1,127,64
3816,1,0,1,0,1,0,0,40,1,127,64
3820,1,1,1,0,1,0,0,40,1,127,64
3822,1,1,0,0,1,0,0,40,1,127,64
3828,1,1,0,0,1,0,0,165,1,128,64
3830,1,1,0,0,1,0,0,165,0,128,64
3834,1,1,1,0,1,0,0,165,0,128,64
3840,1,0,1,0,1,0,0,165,0,128,65
3858,1,0,0,0,1,0,0,165,0,128,65
3860,1,1,0,0,1,0,0,165,0,128,65
3864,1,1,0,0,1,0,0,39,0,129,65
3870,1,1,1,0,1,0,0,39,1,129,65
3876,0,1,1,0,1,0,0,39,1,129,65
3880,0,0,1,0,1,0,0,39,1,129,66
3888,1,0,1,0,1,0,0,39,1,129,66
3900,1,1,1,0,1,0,0,39,1,129,66
3906,1,1,0,0,1,0,0,39,1,129,66
3910,1,1,0,0,1,0,0,39,0,129,66
3912,0,1,0,0,1,0,0,39,0,129,66
3920,0,1,0,0,1,0,0,39,0,129,67
3924,1,1,0,0,1,0,0,207,0,130,67
3930,1,1,1,0,1,0,0,207,0,130,67
3936,0,1,1,0,1,0,0,207,0,130,67
3940,0,0,1,0,1,0,0,207,0,130,68
3942,0,0,0,0,1,0,0,207,0,130,68
3960,1,0,0,0,1,0,0,33,0,131,68
3972,0,0,0,0,1,0,0,33,0,131,68
4000,0,1,0,0,1,0,0,33,0,131,68
4010,0,1,0,0,1,0,0,33,1,131,68
4020,0,1,0,0,1,0,0,33,1,131,69
4030,0,1,0,0,1,0,0,33,0,131,69
4032,1,1,0,0,1,0,0,49,0,132,69
4040,1,0,0,0,1,0,0,49,0,132,70
4044,0,0,0,0,1,0,0,49,0,132,70
4056,1,0,0,0,1,0,0,153,0,133,70
4068,0,0,0,0,1,0,0,153,0,133,70
4104,1,0,0,0,1,0,0,247,0,134,70
4110,1,0,1,0,1,0,0,247,0,134,70
4140,0,0,1,0,1,0,0,247,0,134,70
4160,0,1,1,0,1,0,0,247,0,134,70
4164,1,1,1,0,1,0,0,247,0,134,70
4170,1,1,1,0,1,0,0,247,1,134,70
4176,0,1,1,0,1,0,0,247,1,134,70
4180,0,0,1,0,1,0,0,247,1,134,71
4200,1,1,1,0,1,0,0,247,1,134,71
4206,1,1,0,0,1,0,0,247,1,134,71
4210,1,1,0,0,1,0,0,247,1,134,71
4212,1,1,0,0,1,0,0,9,1,135,71
4218,1,1,1,0,1,0,0,9,1,135,71
4220,1,1,1,0,1,0,0,9,1,135,72
4224,0,1,1,0,1,0,0,9,1,135,72
4230,0,1,1,0,1,0,0,9,0,135,72
4240,0,1,1,0,1,0,0,9,0,135,73
4242,0,1,0,0,1,0,0,9,0,135,73
4250,0,1,0,0,1,0,0,9,1,135,73
4260,0,1,0,0,1,0,0,9,1,135,74
4270,0,1,0,0,1,0,0,9,0,135,74
4272,1,1,0,0,1,0,0,94,0,136,74
4280,1,1,0,0,1,0,0,94,0,136,75
4284,1,1,0,0,1,0,0,144,0,137,75
4290,1,1,0,0,1,0,0,144,1,137,75
4296,0,1,0,0,1,0,0,144,1,137,75
4300,0,0,0,0,1,0,0,144,1,137,76
4320,1,0,0,0,1,0,0,225,1,138,76
4332,0,0,0,0,1,0,0,225,1,138,76
4356,1,0,0,0,1,0,0,165,1,139,76
4368,0,0,0,0,1,0,0,165,1,139,76
4380,1,0,0,0,1,0,0,9,1,140,76
4386,1,0,1,0,1,0,0,9,1,140,76
4392,0,0,1,0,1,0,0,9,1,140,76
4420,0,1,1,0,1,0,0,9,1,140,76
4428,1,1,1,0,1,0,0,9,1,140,76
4430,1,1,1,0,1,0,0,9,0,140,76
4440,1,1,1,0,1,0,0,9,0,140,77
4450,1,1,1,0,1,0,0,9,1,140,77
4458,1,1,0,0,1,0,0,9,1,140,77
4460,1,1,0,0,1,0,0,9,1,140,78
4464,1,1,0,0,1,0,0,180,1,141,78
4470,1,1,1,0,1,0,0,180,0,141,78
4476,0,1,1,0,1,0,0,180,0,141,78
4480,0,0,1,0,1,0,0,180,0,141,79
4482,0,0,0,0,1,0,0,180,0,141,79
4488,1,0,0,0,1,0,0,25,0,142,79
4494,1,0,1,0,1,0,0,25,0,142,79
4500,0,0,1,0,1,0,0,25,0,142,79
4506,0,0,0,0,1,0,0,25,0,142,79
4512,1,0,0,0,1,0,0,207,0,143,79
4518,1,0,1,0,1,0,0,207,0,143,79
4536,0,0,1,0,1,0,0,207,0,143,79
4548,1,0,1,0,1,0,0,207,0,143,79
4560,0,1,1,0,1,0,0,207,0,143,79
4570,0,1,1,0,1,0,0,207,1,143,79
4572,1,1,1,0,1,0,0,207,1,143,79
4580,1,0,1,0,1,0,0,207,1,143,80
4584,0,0,1,0,1,0,0,207,1,143,80
4602,0,0,0,0,1,0,0,207,1,143,80
4620,1,1,0,0,1,0,0,147,1,144,80
4626,1,1,1,0,1,0,0,147,1,144,80
4630,1,1,1,0,1,0,0,147,0,144,80
4640,1,0,1,0,1,0,0,147,0,144,81
4644,0,0,1,0,1,0,0,147,0,144,81
4656,1,0,1,0,1,0,0,147,0,144,81
4660,1,1,1,0,1,0,0,147,0,144,81
4662,1,1,0,0,1,0,0,147,0,144,81
4668,0,1,0,0,1,0,0,147,0,144,81
4670,0,1,0,0,1,0,0,147,1,144,81
4680,1,0,0,0,1,0,0,78,1,145,82
4686,1,0,1,0,1,0,0,78,1,145,82
4692,0,0,1,0,1,0,0,78,1,145,82
